"mp_identifier";"mention_id";"relation";"description";"pos";"term_id";"dep_rel";"constituent_head";"docid";"gender_pron";"gender_api";"alias";"fullname";"ne_identifier"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"uit_geven";"verb";"t_946";"head";"t_946";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"Soundcloud";"name";"t_961";"constituent";"t_956";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"Spotify";"name";"t_957";"constituent";"t_956";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"beluisteren";"verb";"t_955";"head";"t_955";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"en";"vg";"t_960";"constituent";"t_956";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"iTunes";"name";"t_959";"constituent";"t_956";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_955";"undergoer";"op";"prep";"t_956";"hd/mod";"t_956";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_111";"label";"haar";"det";"t_111";"head";"t_111";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_112";"label";"leven";"noun";"t_112";"head";"t_112";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_133";"label";"Bromet";"name";"t_133";"head";"t_133";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_148";"van-rol";"het";"det";"t_147";"hd/det";"t_147";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_148";"van-rol";"maken";"verb";"t_148";"head";"t_148";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_150";"label";"een";"det";"t_150";"head";"t_150";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_151";"label";"podcast";"noun";"t_151";"head";"t_151";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_162";"met-rol";"een";"det";"t_160";"constituent";"t_161";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_162";"met-rol";"interview";"noun";"t_162";"head";"t_162";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_162";"met-rol";"reeks";"noun";"t_161";"hd/det";"t_161";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_164";"label";"mens";"noun";"t_164";"head";"t_164";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"label";"die";"pron";"t_165";"head";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"ander";"adj";"t_171";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"beroep";"noun";"t_172";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"de";"det";"t_166";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"die";"pron";"t_165";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"die";"pron";"t_165";"head";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"een";"det";"t_170";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"maken";"verb";"t_168";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"naar";"prep";"t_169";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_165";"property";"overstap";"noun";"t_167";"constituent";"t_165";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"ander";"adj";"t_171";"constituent";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"beroep";"noun";"t_172";"constituent";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"de";"det";"t_166";"constituent";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"een";"det";"t_170";"constituent";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"maken";"verb";"t_168";"head";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"naar";"prep";"t_169";"constituent";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"agent";"overstap";"noun";"t_167";"hd/obj1";"t_167";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"ander";"adj";"t_171";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"beroep";"noun";"t_172";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"de";"det";"t_166";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"die";"pron";"t_165";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"een";"det";"t_170";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_448";"t_168";"property";"maken";"verb";"t_168";"constituent";"t_168";"coreferenced_a1111111";"female";NA;NA;NA;NA
